,Name,Household Income,state
0,Pennsylvania,63627.0,42
1,California,78672.0,06
2,West Virginia,48037.0,54
3,Utah,74197.0,49
4,New York,71117.0,36
5,District of Columbia,90842.0,11
6,Alaska,77790.0,02
7,Florida,57703.0,12
8,South Carolina,54864.0,45
9,North Dakota,65315.0,38
10,Maine,59489.0,23
11,Georgia,61224.0,13
12,Alabama,52035.0,01
13,New Hampshire,77923.0,33
14,Oregon,65667.0,41
15,Wyoming,65304.0,56
16,Arizona,61529.0,04
17,Louisiana,50800.0,22
18,Indiana,58235.0,18
19,Idaho,58915.0,16
20,Connecticut,79855.0,09
21,Hawaii,83173.0,15
22,Illinois,68428.0,17
23,Massachusetts,84385.0,25
24,Texas,63826.0,48
25,Montana,56539.0,30
26,Nebraska,63015.0,31
27,Ohio,58116.0,39
28,Colorado,75231.0,08
29,New Jersey,85245.0,34
30,Maryland,87063.0,24
31,Virginia,76398.0,51
32,Vermont,63477.0,50
33,North Carolina,56642.0,37
34,Arkansas,49475.0,05
35,Washington,77006.0,53
36,Kansas,61091.0,20
37,Oklahoma,53840.0,40
38,Wisconsin,63293.0,55
39,Mississippi,46511.0,28
40,Missouri,57290.0,29
41,Michigan,59234.0,26
42,Rhode Island,70305.0,44
43,Minnesota,73382.0,27
44,Iowa,61836.0,19
45,New Mexico,51243.0,35
46,Nevada,62043.0,32
47,Delaware,69110.0,10
48,Puerto Rico,21058.0,72
49,Kentucky,52238.0,21
50,South Dakota,59896.0,46
51,Tennessee,54833.0,47
