,Name,Household Income Total,"Household Income Less than 10,000","Household Income 10,000 to 19,999","Household Income 20,000 to 29,999","Household Income 30,000 to 39,999","Household Income 40,000 to 49,999","Household Income 50,000 to 59,999","Household Income 60,000 to 74,999","Household Income 75,000 to 99,999","Household Income 100,000 to 124,999","Household Income 125,000 to 149,999","Household Income 150,000 to 199,999","Household Income 200,000 or more"
0,Alabama,1902983.0,140205.0,101830.5,96219.5,90035.0,80069.0,146226.0,182306.0,230067.0,158503.0,104753.0,106617.0,97998.0
1,Alaska,260561.0,10644.0,7956.5,7643.0,8604.0,8311.5,18272.0,27653.0,35821.0,28393.0,21629.0,26172.0,26947.0
2,Arizona,2683557.0,148295.0,94366.5,110989.0,113804.5,112648.0,213802.0,274373.0,361450.0,259428.0,176969.0,186606.0,199018.0
3,Arkansas,1158460.0,79251.0,62938.5,65154.0,59728.0,51927.5,94126.0,115224.0,137297.0,91658.0,54051.0,54652.0,52705.0
4,California,13217586.0,608329.0,433807.0,433019.5,432160.0,410147.5,817962.0,1129455.0,1621793.0,1309828.0,1000924.0,1314071.0,1996956.0
5,Colorado,2227932.0,97533.0,63191.5,70253.0,75431.5,77355.5,158600.0,216060.0,298937.0,239941.0,178942.0,217388.0,248068.0
6,Connecticut,1397324.0,66533.0,45658.0,46146.0,44952.5,44444.5,88807.0,119766.0,169273.0,138944.0,107526.0,140910.0,203163.0
7,Delaware,381097.0,18656.0,12074.0,13868.0,15552.5,14107.5,27844.0,38161.0,53499.0,37888.0,28828.0,32528.0,32489.0
8,District of Columbia,310104.0,25716.0,9991.0,7244.0,7995.5,7331.0,15817.0,22151.0,35005.0,27053.0,22223.0,31658.0,65358.0
9,Florida,8157420.0,479790.0,327215.0,371411.5,371638.5,350725.0,657396.0,825031.0,1045393.0,728826.0,470060.0,513107.0,595837.0
10,Georgia,3885371.0,235927.0,155109.5,168192.0,164864.0,150890.0,290406.0,385679.0,500145.0,355143.0,248254.0,275916.0,315790.0
11,Hawaii,478413.0,22771.0,11798.5,13054.0,14735.0,14904.0,28406.0,43501.0,65498.0,53986.0,40256.0,53902.0,61110.0
12,Idaho,657101.0,28187.0,25223.0,28360.0,29602.0,28856.0,57359.0,76548.0,90429.0,65644.0,38814.0,38881.0,37157.0
13,Illinois,4930255.0,289764.0,173857.0,190793.5,183030.5,175666.5,339016.0,462671.0,634032.0,491848.0,349265.0,418667.0,498297.0
14,Indiana,2622601.0,145585.0,104465.5,118796.5,121609.0,112103.0,215363.0,277437.0,362436.0,249847.0,159424.0,157816.0,140745.0
15,Iowa,1275893.0,59741.0,50220.0,52663.5,55186.0,53527.5,104349.0,135773.0,181264.0,132691.0,83649.0,81830.0,73402.0
16,Kansas,1139738.0,56498.0,42425.5,50463.0,49229.0,49646.5,91904.0,118637.0,155373.0,109764.0,72494.0,76839.0,74701.0
17,Kentucky,1748475.0,130824.0,88283.0,87386.5,82313.5,74745.5,136297.0,175317.0,218767.0,150697.0,95197.0,90904.0,85015.0
18,Louisiana,1748688.0,151146.0,98648.0,91329.5,79143.5,68333.0,126078.0,156220.0,198838.0,143870.0,96281.0,102229.0,99118.0
19,Maine,571064.0,28613.0,25535.5,25381.5,25286.5,23430.5,44126.0,57818.0,79889.0,54723.0,35624.0,37807.0,33196.0
20,Maryland,2294270.0,104364.0,58584.0,62143.5,66522.5,68612.5,140344.0,196437.0,289593.0,250383.0,194076.0,263465.0,343883.0
21,Massachusetts,2714448.0,129130.0,98510.0,83785.5,80121.0,76190.5,152326.0,213588.0,316270.0,267817.0,215561.0,300065.0,442477.0
22,Michigan,3976729.0,234431.0,158983.5,174651.5,178611.5,165459.0,310900.0,400974.0,526260.0,369813.0,248749.0,266048.0,264143.0
23,Minnesota,2229100.0,86754.0,69865.0,74429.5,80007.0,81819.5,159459.0,218727.0,311870.0,242477.0,178637.0,203105.0,215829.0
24,Mississippi,1108670.0,96864.0,68743.5,62128.0,53305.0,48406.0,84639.0,103326.0,130944.0,84237.0,50851.0,50588.0,42056.0
25,Missouri,2433819.0,136741.0,104099.5,111942.5,113016.5,104844.5,194118.0,249881.0,322544.0,222322.0,145771.0,147830.0,146806.0
26,Montana,436481.0,22775.0,18404.5,21390.0,20751.5,18369.0,35826.0,47545.0,57062.0,39990.0,24858.0,26117.0,24478.0
27,Nebraska,766887.0,35439.0,28050.0,31049.5,32816.0,32246.5,61808.0,81857.0,108503.0,79987.0,50586.0,52519.0,47864.0
28,Nevada,1141952.0,67384.0,39125.5,46681.5,49472.5,47257.5,88979.0,118447.0,155803.0,114183.0,72489.0,81718.0,77875.0
29,New Hampshire,540498.0,18333.0,15909.5,17561.5,18264.0,17685.0,35697.0,50391.0,73882.0,61870.0,44265.0,57634.0,59586.0
30,New Jersey,3397156.0,147115.0,103646.5,107836.0,103714.0,97250.5,197644.0,275404.0,410984.0,341188.0,267947.0,369660.0,562320.0
31,New Mexico,797596.0,64161.0,42137.0,40789.5,37223.5,34355.5,62084.0,78979.0,92594.0,65630.0,42932.0,43448.0,38757.0
32,New York,7530150.0,456977.0,309770.5,278732.0,257777.5,246709.0,477356.0,638697.0,887015.0,711313.0,521835.0,676774.0,974205.0
33,North Carolina,4034684.0,235452.0,179925.0,187854.5,187959.0,171685.5,312862.0,399234.0,512372.0,357498.0,237824.0,244476.0,280118.0
34,North Dakota,316542.0,16890.0,11663.0,13117.0,12660.5,12017.0,24847.0,31240.0,43965.0,32804.0,23736.0,22989.0,21156.0
35,Ohio,4754161.0,293381.0,199350.5,212471.5,212748.5,198987.5,372687.0,484104.0,628149.0,444313.0,291036.0,300551.0,292824.0
36,Oklahoma,1503868.0,92674.0,67865.0,78242.0,71491.0,65938.5,125760.0,154893.0,190964.0,132614.0,82464.0,80411.0,77015.0
37,Oregon,1658091.0,84552.0,60672.0,63446.5,66458.0,63317.5,122270.0,167046.0,223511.0,168085.0,114788.0,130812.0,139239.0
